City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
395,tughyl,47.7252,84.2063,3.16,47,94,5.1,KZ,1701314391
396,quang ngai,15.1167,108.8,25.72,87,97,2.91,VN,1701314391
397,adrar,20.5022,-10.0711,17.21,15,0,3.06,MR,1701314391
398,crane,31.3974,-102.3501,10.03,85,78,9.0,US,1701314391
399,yallahs,17.8748,-76.5624,27.85,85,18,2.68,JM,1701314391
400,todos santos,23.45,-110.2167,23.02,80,1,4.47,MX,1701314391
401,aswan,24.0934,32.907,18.0,28,0,4.22,EG,1701314391
402,ngetkib,7.3645,134.5148,26.14,94,100,4.63,PW,1701314391
403,muscat,23.6139,58.5922,22.01,59,0,1.14,OM,1701314108
404,quincy,42.2529,-71.0023,0.12,65,0,3.6,US,1701314374
405,pandan,14.0453,124.1694,28.33,80,32,5.5,PH,1701314392
406,chateaudun,48.0833,1.3333,4.22,87,100,2.58,FR,1701314392
407,piti village,13.4626,144.6933,32.49,73,20,9.77,GU,1701314392
408,arbelaez,4.2725,-74.4151,18.25,77,100,2.42,CO,1701314392
409,dakhla,23.6848,-15.958,19.66,51,100,1.46,EH,1701314392
410,murun-kuren,49.6342,100.1625,-15.67,76,10,1.54,MN,1701314393
411,sanga-sanga,5.0725,119.7853,27.86,78,100,2.83,PH,1701314393
412,vico del gargano,41.8983,15.9576,4.7,67,42,4.66,IT,1701314393
413,anqing,30.5092,117.0506,8.72,31,99,6.61,CN,1701314393
414,emerald,-23.5333,148.1667,34.63,24,3,2.43,AU,1701314393
415,shalkar,47.8288,59.6258,-1.18,76,32,3.12,KZ,1701314393
416,ulsteinvik,62.3432,5.8487,0.97,67,100,2.24,NO,1701314393
417,fortuna foothills,32.6578,-114.4119,15.86,50,20,3.09,US,1701314191
418,caleta de carquin,-11.0925,-77.6267,19.35,86,50,4.46,PE,1701314394
419,conduaga,8.862,117.4893,30.86,66,97,1.12,PH,1701314394
420,portland,45.5234,-122.6762,4.34,76,100,3.13,US,1701313771
421,egilsstadir,65.2653,-14.3948,1.95,69,75,4.12,IS,1701314394
422,hasaki,35.7333,140.8333,17.94,34,1,4.47,JP,1701314394
423,anandnagar,27.1,83.2833,21.5,53,22,1.36,IN,1701314394
